Customer_ID,Customer_Name,Region,Signup_Date
C0064,John Doe,West.,2023-06-30
C0065,Alice,South,2021-09-25
C0066,jane doe,North,2020-04-15
C0067,Alice,East,2023-02-27
C0068,jane doe,West.,2022-04-28
C0069,Unknown,South,2021-10-31
C0070,Unknown,West,2021-01-10
C0071,Unknown,South,2022-01-12
C0072,jane doe,West.,2022-08-24
C0073,Alice,West.,2020-11-03
C0074,Unknown,Unknown,2020-03-31
C0075,bob,Unknown,2023-11-17
C0076,jane doe,South,2022-03-12
C0077,jane doe,West,2020-04-19
C0078,Alice,South,2021-08-07
C0079,jane doe,West.,2020-12-05
C0080,jane doe,West.,2022-09-05
C0081,Unknown,East,2020-12-21
C0082,Alice,Unknown,2020-06-16
C0083,Unknown,East,2021-07-10
C0084,Unknown,North,2022-06-23
C0085,Alice,West.,2020-04-14
C0086,John Doe,East,2020-05-29
C0087,Unknown,South,2020-05-25
C0088,bob,Unknown,2021-12-16
C0089,bob,Unknown,2022-05-23
C0090,jane doe,West,2020-10-25
C0091,bob,South,2023-04-05
C0092,jane doe,West,2021-10-07
C0093,John Doe,East,2021-12-23
C0094,Alice,North,2022-12-07
C0095,Alice,South,2021-09-29
C0096,Alice,South,2020-08-26
C0097,bob,South,2022-10-27
C0098,John Doe,West,2021-04-08
C0099,bob,East,2021-03-28
C0100,bob,South,2022-02-22
C0101,John Doe,South,2022-06-15
C0102,John Doe,Unknown,2021-01-05
C0103,John Doe,North,2021-05-01
C0104,John Doe,Unknown,2023-05-19
C0105,Alice,Unknown,2020-06-13
C0106,J. Smith,North,2023-02-22
C0107,J. Smith,East,2023-09-22
C0108,John Doe,Unknown,2020-07-10
C0109,J. Smith,East,2021-12-30
C0110,J. Smith,Unknown,2020-08-01
C0111,John Doe,West.,2021-07-27
C0112,J. Smith,North,2023-09-13
C0113,bob,Unknown,2022-08-14
C0114,jane doe,West.,2021-01-15
C0115,jane doe,West,2021-11-03
C0116,John Doe,West.,2022-03-08
C0117,Alice,South,2020-08-26
C0118,John Doe,Unknown,2021-11-30
C0119,Alice,West.,2023-01-10
C0120,jane doe,East,2023-10-18
C0121,John Doe,West,2021-05-19
C0122,Unknown,Unknown,2020-07-20
C0123,bob,South,2022-07-08
C0124,J. Smith,West.,2020-02-06
C0125,Alice,West,2021-10-05
C0126,Unknown,Unknown,2023-11-26
C0127,J. Smith,West,2022-02-03
C0128,J. Smith,South,2021-12-06
C0129,John Doe,West.,2023-04-14
C0130,J. Smith,West,2021-06-28
C0131,bob,West,2023-05-09
C0132,Unknown,North,2021-06-23
C0133,J. Smith,West,2022-10-13
C0134,John Doe,North,2021-01-28
C0135,bob,West.,2022-04-12
C0136,jane doe,Unknown,2022-12-01
C0137,Unknown,Unknown,2021-08-19
C0138,J. Smith,West.,2021-01-27
C0139,John Doe,West.,2021-11-30
C0140,jane doe,East,2021-03-16
C0141,jane doe,West.,2022-07-06
C0142,Alice,West,2020-11-15
C0143,bob,Unknown,2021-07-06
C0144,J. Smith,South,2023-05-23
C0145,John Doe,Unknown,2022-12-30
C0146,Alice,North,2021-07-21
C0147,bob,Unknown,2022-07-07
C0148,Alice,East,2020-08-23
C0149,Unknown,West.,2023-07-28
C0150,bob,West.,2022-09-13
C0151,bob,Unknown,2023-03-31
C0152,J. Smith,South,2023-04-29
C0153,bob,South,2022-10-29
C0154,Alice,East,2020-02-29
C0155,bob,North,2022-06-11
C0156,J. Smith,Unknown,2020-08-12
C0157,J. Smith,West.,2021-11-30
C0158,Unknown,Unknown,2021-08-04
C0159,Alice,East,2023-08-03
C0160,jane doe,West,2022-09-20
C0161,jane doe,West,2020-06-17
C0162,bob,East,2022-12-21
C0163,Unknown,West.,2023-10-04
C0164,John Doe,East,2020-01-14
C0165,bob,West.,2020-06-12
C0166,Unknown,South,2023-12-14
C0167,Alice,East,2022-01-26
C0168,Alice,West.,2022-11-17
C0169,Alice,East,2021-03-21
C0170,Alice,East,2023-05-16
C0171,Alice,West.,2021-12-16
C0172,Unknown,West.,2022-09-02
C0173,Unknown,North,2022-03-29
C0174,J. Smith,East,2020-04-13
C0175,jane doe,West,2022-01-11
C0176,Alice,East,2021-03-01
C0177,John Doe,East,2023-01-29
C0178,Unknown,West.,2021-09-30
C0179,John Doe,East,2022-04-29
C0180,John Doe,Unknown,2023-02-03
C0181,John Doe,East,2022-02-07
C0182,J. Smith,Unknown,2020-10-03
C0183,Unknown,West,2022-12-24
C0184,John Doe,West.,2022-06-18
C0185,Alice,East,2020-07-06
C0186,bob,Unknown,2023-09-02
C0187,John Doe,Unknown,2023-03-07
C0188,J. Smith,Unknown,2023-09-28
C0189,Unknown,South,2020-04-14
C0190,J. Smith,North,2021-06-29
C0191,John Doe,West,2021-01-14
C0192,Unknown,East,2020-04-19
C0193,bob,South,2021-06-28
C0194,John Doe,East,2020-12-19
C0195,J. Smith,East,2022-01-12
C0196,jane doe,West.,2020-11-12
C0197,Alice,West.,2023-07-13
C0198,J. Smith,West.,2022-12-24
C0199,Unknown,South,2020-11-28
C0200,John Doe,East,2023-03-02
C0201,Alice,North,2021-08-14
C0202,John Doe,West,2022-02-21
C0203,Unknown,West.,2021-06-23
C0204,John Doe,West.,2022-01-04
C0205,jane doe,East,2021-09-12
C0206,Alice,East,2021-09-10
C0207,Alice,South,2023-10-24
C0208,Unknown,South,2022-06-27
C0209,jane doe,West.,2022-09-18
C0210,J. Smith,East,2020-04-08
C0211,John Doe,North,2020-11-12
C0212,bob,West,2020-05-02
C0213,John Doe,East,2023-09-05
C0214,John Doe,East,2022-03-09
C0215,J. Smith,Unknown,2021-04-01
C0216,John Doe,South,2021-06-05
C0217,jane doe,West,2021-06-03
C0218,jane doe,West.,2022-07-05
C0219,Alice,East,2021-12-17
C0220,Unknown,West.,2020-11-10
C0221,bob,East,2021-12-09
C0222,John Doe,West.,2021-12-10
C0223,John Doe,West,2022-11-09
C0224,J. Smith,South,2021-07-13
C0225,Unknown,West,2022-08-26
C0226,jane doe,Unknown,2023-02-27
C0227,bob,North,2023-08-09
C0228,Alice,South,2023-03-01
C0229,jane doe,West,2020-12-21
C0230,Unknown,Unknown,2022-12-13
C0231,Alice,North,2022-06-08
C0232,J. Smith,Unknown,2022-03-03
C0233,J. Smith,East,2023-11-11
C0234,John Doe,East,2020-09-21
C0235,Unknown,West.,2022-09-08
C0236,bob,South,2023-05-23
C0237,Alice,East,2022-03-12
C0238,jane doe,Unknown,2020-02-12
C0239,Unknown,South,2022-05-11
C0240,Unknown,East,2023-07-25
C0241,J. Smith,West.,2023-02-27
C0242,John Doe,West,2020-12-15
C0243,John Doe,West.,2023-02-03
C0244,Alice,North,2022-06-30
C0245,J. Smith,East,2020-01-01
C0246,Unknown,North,2021-08-06
C0247,bob,North,2021-03-07
C0248,J. Smith,Unknown,2023-08-22
C0249,Alice,South,2020-02-22
C0250,Alice,Unknown,2022-07-28
C0251,J. Smith,East,2021-06-03
C0252,Alice,North,2023-09-15
C0253,J. Smith,West,2023-09-10
C0254,jane doe,North,2023-02-11
C0255,J. Smith,West,2020-05-26
C0256,J. Smith,Unknown,2023-04-04
C0257,Alice,Unknown,2023-11-03
C0258,Alice,South,2023-03-08
C0259,John Doe,North,2021-09-20
C0260,John Doe,West.,2020-10-25
C0261,jane doe,Unknown,2023-07-23
C0262,John Doe,Unknown,2022-02-27
C0263,J. Smith,South,2022-04-29
C0264,Alice,West,2020-06-26
C0265,John Doe,South,2022-04-21
C0266,John Doe,North,2023-10-09
C0267,jane doe,East,2023-03-23
C0268,Unknown,East,2023-05-09
C0269,jane doe,West,2022-05-27
C0270,J. Smith,Unknown,2023-02-12
C0271,Alice,West,2022-01-28
C0272,jane doe,Unknown,2022-12-27
C0273,John Doe,Unknown,2021-03-20
C0274,Alice,East,2023-09-11
C0275,Alice,West,2021-12-08
C0276,John Doe,South,2021-08-24
C0277,jane doe,Unknown,2023-10-14
C0278,John Doe,West.,2020-05-24
C0279,Unknown,West.,2020-10-01
C0280,Alice,South,2021-05-23
C0281,bob,West.,2023-04-17
C0282,bob,North,2022-01-22
C0283,J. Smith,Unknown,2021-04-21
C0284,John Doe,South,2023-12-08
C0285,John Doe,West,2023-03-22
C0286,J. Smith,Unknown,2023-02-01
C0287,J. Smith,South,2023-01-03
C0288,J. Smith,East,2023-02-25
C0289,Alice,West,2021-10-27
C0290,Unknown,East,2021-07-21
C0291,John Doe,Unknown,2023-09-30
C0292,Alice,West,2021-06-14
C0293,J. Smith,West.,2020-06-07
C0294,John Doe,South,2023-12-20
C0295,Alice,Unknown,2021-11-11
C0296,Unknown,North,2020-01-23
C0297,Alice,West,2022-12-06
C0298,Unknown,West,2021-06-08
C0299,J. Smith,Unknown,2021-12-29
C0300,Unknown,Unknown,2020-05-23
C0301,John Doe,East,2021-10-29
C0302,J. Smith,West.,2023-12-13
C0303,John Doe,East,2021-11-11
C0304,bob,East,2022-08-30
C0305,jane doe,West.,2022-03-09
C0306,Unknown,North,2020-03-25
C0307,jane doe,East,2021-02-19
C0308,jane doe,East,2021-11-24
C0309,Unknown,West,2021-04-26
C0310,J. Smith,West.,2021-03-31
C0311,bob,South,2022-04-06
C0312,John Doe,North,2020-10-23
C0313,Alice,North,2023-02-09
C0314,John Doe,West.,2023-06-07
C0315,Alice,Unknown,2023-01-24
C0316,John Doe,Unknown,2022-08-07
C0317,Unknown,West,2021-11-10
C0318,bob,West,2021-01-12
C0319,Alice,West.,2023-03-25
C0320,J. Smith,West,2021-02-24
C0321,John Doe,North,2020-04-14
C0322,John Doe,North,2020-11-25
C0323,Alice,South,2021-03-14
C0324,J. Smith,Unknown,2023-03-01
C0325,J. Smith,West.,2021-01-16
C0326,Unknown,East,2020-05-17
C0327,Unknown,Unknown,2022-07-31
C0328,Unknown,East,2022-04-22
C0329,Unknown,South,2020-09-26
C0330,Unknown,South,2021-01-30
C0331,Unknown,West,2022-07-01
C0332,bob,South,2021-04-08
C0333,J. Smith,South,2021-03-25
C0334,Unknown,East,2023-09-16
C0335,J. Smith,West,2023-06-30
C0336,J. Smith,South,2023-08-01
C0337,jane doe,Unknown,2023-07-21
C0338,bob,South,2020-01-20
C0339,Unknown,West,2020-08-26
C0340,John Doe,West.,2023-07-17
C0341,Alice,West,2021-02-21
C0342,John Doe,East,2023-08-26
C0343,bob,West.,2022-11-20
C0344,Alice,Unknown,2023-02-01
C0345,bob,North,2020-07-04
C0346,J. Smith,West,2023-02-25
C0347,Alice,East,2023-05-18
C0348,J. Smith,Unknown,2023-12-08
C0349,John Doe,West.,2023-07-28
C0350,John Doe,Unknown,2020-09-09
C0351,Alice,West,2020-01-19
C0352,Alice,South,2021-12-12
C0353,Unknown,West,2023-03-05
C0354,bob,North,2020-08-10
C0355,Unknown,West,2020-01-03
C0356,bob,West.,2023-06-13
C0357,Unknown,West.,2022-05-03
C0358,J. Smith,West,2020-08-15
C0359,Alice,West.,2022-07-01
C0360,John Doe,South,2021-05-13
C0361,bob,Unknown,2021-06-04
C0362,bob,West,2021-12-02
C0363,John Doe,South,2022-07-05
C0364,Unknown,Unknown,2023-03-08
C0365,bob,Unknown,2023-07-23
C0366,J. Smith,South,2020-10-17
C0367,Alice,East,2022-12-12
C0368,John Doe,West,2023-02-07
C0369,Alice,Unknown,2021-12-15
C0370,bob,Unknown,2022-08-05
C0371,bob,West.,2021-10-09
C0372,John Doe,Unknown,2022-10-24
C0373,J. Smith,South,2021-11-14
C0374,jane doe,Unknown,2022-05-19
C0375,John Doe,East,2022-12-06
C0376,jane doe,West,2020-04-03
C0377,Unknown,West,2022-07-28
C0378,jane doe,Unknown,2021-07-13
C0379,J. Smith,North,2020-07-31
C0380,Unknown,North,2021-03-11
C0381,jane doe,South,2022-05-01
C0382,Unknown,North,2021-05-22
C0383,jane doe,South,2022-04-15
C0384,J. Smith,West.,2021-10-12
C0385,jane doe,South,2020-07-23
C0386,jane doe,North,2021-01-15
C0387,jane doe,Unknown,2023-01-01
C0388,John Doe,West.,2023-01-04
C0389,John Doe,North,2020-03-17
C0390,John Doe,South,2022-03-26
C0391,J. Smith,East,2022-02-06
C0392,Unknown,West,2021-02-13
C0393,bob,North,2020-04-15
C0394,jane doe,South,2021-07-04
C0395,jane doe,West.,2022-04-05
C0396,J. Smith,North,2023-07-22
C0397,jane doe,North,2020-03-28
C0398,John Doe,West,2022-05-30
C0399,bob,South,2023-01-05
C0400,Alice,East,2023-01-05
C0401,jane doe,West.,2021-06-23
C0402,John Doe,South,2020-09-01
C0403,Alice,West.,2021-07-31
C0404,bob,North,2023-11-06
C0405,Alice,West,2022-09-08
C0406,John Doe,West,2021-12-17
C0407,Unknown,Unknown,2020-05-21
C0408,Unknown,East,2022-06-11
C0409,Alice,West,2023-10-23
C0410,J. Smith,North,2023-01-12
C0411,Alice,East,2023-03-12
C0412,jane doe,South,2020-12-17
C0413,jane doe,West,2021-06-28
C0414,Unknown,East,2022-07-01
C0415,J. Smith,North,2020-05-31
C0416,John Doe,Unknown,2023-03-27
C0417,jane doe,West.,2021-10-14
C0418,Unknown,West.,2022-08-15
C0419,bob,North,2022-02-01
C0420,Unknown,North,2023-08-19
C0421,jane doe,West.,2021-09-15
C0422,jane doe,Unknown,2021-10-17
C0423,Unknown,East,2021-03-25
C0424,John Doe,West.,2021-12-21
C0425,Alice,North,2023-06-01
C0426,jane doe,West,2020-02-12
C0427,Unknown,South,2020-09-20
C0428,Unknown,Unknown,2022-10-23
C0429,J. Smith,Unknown,2023-07-15
C0430,Alice,West,2021-08-18
C0431,bob,West,2022-11-05
C0432,John Doe,North,2023-09-19
C0433,bob,West.,2022-12-18
C0434,Alice,East,2022-10-09
C0435,Alice,Unknown,2020-06-25
C0436,Alice,Unknown,2020-03-03
C0437,bob,West,2022-08-15
C0438,Alice,West.,2022-09-29
C0439,Unknown,Unknown,2021-07-14
C0440,bob,East,2023-08-23
C0441,Alice,West,2023-06-23
C0442,Unknown,East,2023-08-05
C0443,J. Smith,West.,2022-08-12
C0444,Alice,Unknown,2023-09-17
C0445,bob,South,2022-04-29
C0446,jane doe,Unknown,2023-07-02
C0447,Alice,West.,2021-08-26
C0448,jane doe,Unknown,2021-08-28
C0449,Unknown,Unknown,2022-04-09
C0450,J. Smith,North,2023-05-07
C0451,John Doe,Unknown,2023-07-18
C0452,J. Smith,Unknown,2022-01-15
C0453,Alice,East,2021-07-11
C0454,jane doe,South,2020-03-04
C0455,jane doe,East,2023-06-07
C0456,bob,East,2022-07-30
C0457,jane doe,West,2020-09-05
C0458,bob,North,2023-06-23
C0459,Unknown,East,2022-07-28
C0460,John Doe,West.,2020-06-05
C0461,Alice,West.,2022-01-04
C0462,bob,Unknown,2022-09-11
C0463,John Doe,West,2023-01-16
C0464,jane doe,North,2023-08-29
C0465,jane doe,North,2022-12-25
C0466,John Doe,Unknown,2021-10-23
C0467,jane doe,West.,2022-11-09
C0468,Unknown,South,2020-02-02
C0469,Unknown,West,2021-07-11
C0470,John Doe,Unknown,2020-03-13
C0471,bob,West,2022-04-04
C0472,bob,West.,2023-09-28
C0473,John Doe,West.,2023-03-02
C0474,bob,South,2022-12-14
C0475,bob,South,2020-03-01
C0476,Unknown,North,2020-09-28
C0477,bob,West,2020-09-02
C0478,J. Smith,West,2023-04-14
C0479,Alice,West.,2021-09-19
C0480,jane doe,North,2023-09-02
C0481,J. Smith,Unknown,2021-12-05
C0482,bob,West,2021-10-23
C0483,Unknown,North,2023-02-28
C0484,John Doe,North,2023-01-30
C0485,bob,West.,2020-11-05
C0486,Unknown,North,2023-08-08
C0487,Alice,South,2021-05-09
C0488,bob,South,2023-10-16
C0489,John Doe,East,2020-12-03
C0490,Unknown,West.,2021-08-01
C0491,Unknown,Unknown,2020-01-10
C0492,Unknown,East,2020-02-18
C0493,Alice,South,2021-09-14
C0494,bob,East,2023-09-06
C0495,Alice,West.,2021-12-31
C0496,jane doe,West.,2022-03-05
C0497,jane doe,North,2022-08-28
C0498,bob,West,2020-05-12
C0499,Alice,North,2020-03-23
C0500,John Doe,West.,2020-02-26
C0501,Unknown,South,2021-01-10
C0502,Unknown,Unknown,2020-12-14
C0503,bob,South,2020-09-27
C0504,jane doe,North,2020-04-20
C0505,jane doe,Unknown,2022-05-18
C0506,Unknown,West.,2022-06-05
C0507,bob,South,2020-03-16
C0508,Alice,West.,2023-03-27
C0509,jane doe,Unknown,2020-11-24
C0510,Alice,Unknown,2020-05-01
C0511,jane doe,South,2020-02-10
C0512,jane doe,West.,2023-04-05
C0513,J. Smith,East,2022-07-10
C0514,jane doe,West.,2021-10-03
C0515,John Doe,Unknown,2022-11-12
C0516,bob,West.,2020-10-05
C0517,bob,North,2022-02-01
C0518,Alice,East,2021-04-13
C0519,jane doe,West,2023-11-24
C0520,John Doe,North,2020-01-09
C0521,Alice,West,2020-01-13
C0522,J. Smith,South,2022-07-12
C0523,Alice,West,2022-07-11
C0524,Alice,West.,2022-12-11
C0525,jane doe,West,2023-05-17
C0526,J. Smith,Unknown,2023-11-26
C0527,Alice,North,2023-04-29
C0528,John Doe,North,2022-12-10
C0529,John Doe,West,2023-11-17
C0530,bob,North,2021-10-14
C0531,J. Smith,Unknown,2021-09-12
C0532,J. Smith,North,2023-08-16
C0533,bob,West,2020-07-14
C0534,Alice,East,2021-02-20
C0535,J. Smith,East,2021-10-25
C0536,John Doe,South,2023-12-14
C0537,John Doe,North,2023-10-11
C0538,jane doe,West,2020-05-27
C0539,J. Smith,North,2022-09-27
C0540,Alice,West.,2023-10-20
C0541,bob,Unknown,2020-12-29
C0542,bob,North,2021-02-05
C0543,Alice,North,2021-08-28
C0544,Unknown,East,2020-08-16
C0545,jane doe,Unknown,2021-06-20
C0546,bob,West,2020-09-24
C0547,J. Smith,North,2023-11-29
C0548,jane doe,East,2022-10-31
C0549,J. Smith,South,2023-09-05
C0550,John Doe,Unknown,2020-05-05
C0551,jane doe,East,2020-11-01
C0552,bob,East,2023-01-17
C0553,jane doe,East,2023-10-10
C0554,jane doe,North,2021-09-19
C0555,jane doe,North,2023-10-07
C0556,Unknown,South,2021-11-19
C0557,jane doe,West.,2022-11-03
C0558,J. Smith,West.,2023-07-04
C0559,John Doe,West.,2023-05-17
C0560,Alice,Unknown,2020-10-07
C0561,jane doe,Unknown,2021-03-18
C0562,bob,South,2022-04-16
C0563,jane doe,Unknown,2021-01-23
C0564,bob,West.,2021-09-08
C0565,J. Smith,West.,2020-05-26
C0566,bob,East,2023-07-26
C0567,Alice,Unknown,2021-06-04
C0568,John Doe,North,2021-09-21
C0569,bob,North,2021-03-09
C0570,bob,East,2020-05-23
C0571,John Doe,East,2020-10-15
C0572,Alice,East,2023-11-10
C0573,jane doe,North,2020-01-14
C0574,bob,West.,2020-09-13
C0575,John Doe,East,2023-10-01
C0576,J. Smith,South,2023-09-30
C0577,John Doe,East,2023-11-24
C0578,J. Smith,West,2023-05-15
C0579,Alice,East,2022-05-07
C0580,jane doe,North,2022-07-31
C0581,John Doe,Unknown,2023-04-10
C0582,Unknown,East,2021-04-08
C0583,bob,Unknown,2020-09-26
C0584,Alice,West,2023-05-29
C0585,John Doe,South,2023-03-21
C0586,bob,Unknown,2021-09-14
C0587,John Doe,West.,2023-04-21
C0588,J. Smith,East,2023-11-23
C0589,John Doe,West,2020-03-12
C0590,Unknown,West,2023-12-12
C0591,John Doe,Unknown,2023-07-30
C0592,John Doe,South,2020-03-14
C0593,Unknown,North,2020-12-20
C0594,Alice,East,2021-05-11
C0595,John Doe,West,2023-09-13
C0596,Unknown,South,2022-09-14
C0597,bob,West.,2021-08-02
C0598,J. Smith,West,2022-06-28
C0599,J. Smith,South,2021-01-07
C0600,John Doe,North,2020-12-27
C0601,Alice,North,2020-04-02
C0602,Alice,West,2023-09-06
C0603,bob,West,2020-11-19
C0604,John Doe,Unknown,2021-01-18
C0605,J. Smith,East,2021-07-28
C0606,Alice,South,2022-01-05
C0607,John Doe,West,2022-01-06
C0608,Alice,East,2020-12-11
C0609,Unknown,Unknown,2023-01-31
C0610,Alice,East,2023-05-23
C0611,J. Smith,West,2023-04-30
C0612,jane doe,North,2021-12-19
C0613,bob,South,2022-02-19
C0614,bob,South,2022-10-16
C0615,J. Smith,North,2023-05-02
C0616,Alice,West,2023-11-04
C0617,John Doe,South,2023-11-27
C0618,Alice,West,2021-10-25
C0619,J. Smith,Unknown,2021-08-22
C0620,bob,West,2020-01-11
C0621,Alice,East,2020-07-05
C0622,bob,North,2021-12-26
C0623,John Doe,West,2022-11-04
C0624,bob,Unknown,2022-02-16
C0625,bob,West.,2023-08-13
C0626,jane doe,North,2021-02-14
C0627,jane doe,South,2022-08-13
C0628,Unknown,East,2021-08-07
C0629,jane doe,South,2022-12-11
C0630,bob,Unknown,2022-11-17
C0631,J. Smith,Unknown,2021-07-30
C0632,bob,South,2022-11-06
C0633,J. Smith,North,2023-10-06
C0634,J. Smith,South,2023-12-22
C0635,jane doe,West,2023-06-06
C0636,Alice,South,2022-09-15
C0637,John Doe,East,2023-05-18
C0638,jane doe,East,2023-12-25
C0639,jane doe,West.,2023-08-10
C0640,Alice,East,2022-01-12
C0641,John Doe,South,2023-02-01
C0642,bob,East,2020-07-22
C0643,Unknown,North,2022-12-12
C0644,Unknown,East,2022-08-31
C0645,bob,West,2022-07-28
C0646,jane doe,North,2023-10-30
C0647,John Doe,West.,2022-12-13
C0648,jane doe,West,2023-07-23
C0649,J. Smith,South,2023-09-20
C0650,jane doe,South,2022-11-20
C0651,jane doe,South,2023-03-04
C0652,bob,West,2022-12-17
C0653,bob,West,2020-04-14
C0654,bob,West,2023-07-13
C0655,Unknown,North,2020-09-09
C0656,J. Smith,Unknown,2020-10-21
C0657,bob,North,2021-10-29
C0658,John Doe,South,2023-03-27
C0659,Unknown,Unknown,2021-07-02
C0660,Alice,East,2021-09-22
C0661,John Doe,South,2022-12-26
C0662,John Doe,West.,2020-10-25
C0663,bob,North,2020-04-10
C0664,Alice,West,2022-12-15
C0665,Alice,North,2020-11-27
C0666,Unknown,West,2022-04-15
C0667,Alice,Unknown,2021-01-27
C0668,J. Smith,West.,2022-05-23
C0669,bob,Unknown,2021-01-15
C0670,Alice,West.,2020-04-01
C0671,Unknown,North,2021-03-22
C0672,J. Smith,West,2020-04-18
C0673,jane doe,Unknown,2020-11-12
C0674,jane doe,West.,2023-04-06
C0675,J. Smith,South,2023-12-29
C0676,Unknown,South,2021-03-17
C0677,J. Smith,Unknown,2020-08-05
C0678,bob,West,2023-05-30
C0679,bob,Unknown,2021-11-03
C0680,jane doe,North,2020-10-04
C0681,Alice,West.,2022-10-05
C0682,Unknown,North,2021-07-22
C0683,jane doe,South,2022-10-06
C0684,Alice,West.,2022-05-24
C0685,Alice,Unknown,2021-04-10
C0686,bob,North,2022-04-18
C0687,John Doe,East,2022-01-23
C0688,John Doe,West,2022-04-17
C0689,J. Smith,West,2020-01-30
C0690,bob,East,2020-12-24
C0691,Alice,South,2023-08-04
C0692,Unknown,West.,2020-03-26
C0693,John Doe,West,2023-06-11
C0694,Alice,East,2022-01-16
C0695,John Doe,Unknown,2020-11-08
C0696,John Doe,East,2020-12-30
C0697,John Doe,South,2022-06-23
C0698,Unknown,South,2023-07-16
C0699,bob,North,2021-11-28
C0700,Unknown,West,2020-05-10
C0701,jane doe,North,2022-03-13
C0702,Alice,East,2022-02-27
C0703,bob,West.,2020-12-16
C0704,bob,West.,2020-06-28
C0705,bob,South,2023-04-01
C0706,bob,West.,2023-01-24
C0707,Unknown,West.,2022-02-12
C0708,bob,West.,2021-05-24
C0709,J. Smith,East,2020-12-30
C0710,Alice,West.,2022-09-07
C0711,bob,Unknown,2020-12-18
C0712,Alice,West.,2022-03-10
C0713,J. Smith,West.,2023-12-30
C0714,J. Smith,North,2023-01-11
C0715,Alice,East,2023-06-02
C0716,John Doe,South,2021-02-15
C0717,jane doe,North,2022-01-04
C0718,John Doe,West,2022-09-07
C0719,John Doe,East,2020-04-27
C0720,Unknown,Unknown,2021-04-26
C0721,John Doe,East,2020-07-10
C0722,bob,West,2021-08-13
C0723,Unknown,West,2021-08-12
C0724,Unknown,West,2021-10-20
C0725,J. Smith,South,2020-04-16
C0726,John Doe,West.,2021-01-16
C0727,J. Smith,East,2022-02-21
C0728,Alice,West.,2021-01-24
C0729,jane doe,West.,2020-08-31
C0730,Unknown,Unknown,2021-08-07
C0731,Alice,West,2022-05-18
C0732,Alice,South,2021-04-12
C0733,bob,Unknown,2022-05-15
C0734,jane doe,North,2022-07-22
C0735,Alice,South,2023-05-18
C0736,Alice,West.,2021-08-26
C0737,jane doe,South,2022-10-11
C0738,jane doe,West,2023-01-01
C0739,Alice,North,2023-08-25
C0740,jane doe,West,2022-05-09
C0741,Alice,North,2023-04-24
C0742,Alice,Unknown,2023-06-30
C0743,bob,West.,2020-01-13
C0744,John Doe,North,2020-10-25
C0745,Alice,North,2023-01-04
C0746,J. Smith,North,2022-12-10
C0747,Unknown,South,2022-02-25
C0748,John Doe,Unknown,2020-05-28
C0749,John Doe,South,2020-05-01
C0750,John Doe,West.,2023-05-19
C0751,bob,North,2023-07-27
C0752,Alice,Unknown,2021-06-21
C0753,bob,Unknown,2023-03-25
C0754,Alice,East,2023-06-15
C0755,bob,West.,2021-01-10
C0756,bob,Unknown,2020-03-22
C0757,Unknown,North,2021-05-06
C0758,J. Smith,North,2020-12-21
C0759,bob,Unknown,2022-07-13
C0760,Unknown,South,2023-07-20
